河北频道,#genre#
金鹰卡通,http://111.61.236.247:9081/hls/66/index.m3u8
金鹰卡通,http://121.24.99.99:8090/hls/72/index.m3u8
金鹰纪实,http://111.225.95.129:33333/hls/59/index.m3u8
阜平电视台,http://111.225.95.129:33333/hls/66/index.m3u8
陶瓷,http://121.24.99.99:8090/hls/66/index.m3u8
霸州台,http://111.61.236.247:9081/hls/122/index.m3u8
青春剧场,http://121.24.99.99:8090/r/baiducdnct.inter.iqiyi.com/tslive/c15_lb_weizhangzhe_1080p_t10/c15_lb_weizhangzhe_1080p_t10.m3u8
靓装,http://111.225.95.129:33333/hls/90/index.m3u8
顺平电视台,http://111.225.95.129:33333/hls/82/index.m3u8
风云足球,http://111.61.236.247:9081/hls/58/index.m3u8
高碑店电视,http://111.225.95.129:33333/hls/78/index.m3u8
魅力时尚,http://121.24.99.99:8090/hls/102/index.m3u8
